,MUNICIPIO,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB19,z_score_nota,z_score_IDEB19
33,Canindé,2367,517,0.21841994085340094,1127,0.4761301225179552,562,0.2374313476975074,561.2082805238699,487.0262779890156,504.3674271229404,505.8013941698352,455.09881706801855,502.70043937473594,813,23,0.01067875752859173,5.0600000000000005,0.7324029635135608,1.6794603248103166
34,Capistrano,96,0,0.0,1,0.010416666666666666,0,0.0,463.9583333333333,454.2916666666667,445.1635416666666,467.76666666666665,426.0520833333333,451.44645833333334,96,0,0.00043310550179332747,3.7,-1.262610960250389,-1.7466275031142846
35,Caridade,804,198,0.2462686567164179,489,0.6082089552238806,220,0.2736318407960199,556.2189054726368,484.7187810945274,507.1475124378109,500.47276119402983,452.7998756218905,500.27156716417915,260,0,0.0036272585775191176,4.8,0.6378613536591019,1.0244729459423767
36,Caririaçu,693,209,0.30158730158730157,383,0.5526695526695526,232,0.3347763347763348,579.4805194805194,486.36897546897546,501.0620490620491,499.50259740259736,451.5643578643578,503.5956998556999,276,0,0.003126480341070583,4.35,0.7672501517441865,-0.10915905594444014
37,Cariré,670,185,0.27611940298507465,433,0.6462686567164179,196,0.29253731343283584,554.5074626865671,493.74761194029855,521.2556716417911,506.64432835820895,459.7402985074627,507.17907462686566,239,0,0.0030227154812659312,4.949999999999999,0.906729708595885,1.4023502799046474
38,Cariús,134,27,0.20149253731343283,69,0.5149253731343284,33,0.2462686567164179,484.17910447761193,449.8216417910448,478.33507462686566,464.43059701492535,431.0634328358209,461.5659701492537,134,0,0.0006045430962531862,5.0,-0.8687182993437805,1.5283093912254067
39,Carnaubal,197,51,0.25888324873096447,146,0.7411167512690355,55,0.27918781725888325,460.81218274111677,467.00101522842635,471.94314720812184,474.62081218274113,432.7274111675127,461.42091370558376,197,0,0.0008887685818050574,4.65,-0.8743644875807381,0.6465956119801058
40,Cascavel,1760,446,0.2534090909090909,992,0.5636363636363636,489,0.2778409090909091,567.2272727272727,489.0928977272727,503.55880681818184,503.66125000000005,459.9573863636364,504.6995227272727,788,34,0.00794026753287767,4.62,0.8102154386041098,0.5710201451876508
41,Catarina,99,3,0.030303030303030304,11,0.1111111111111111,3,0.030303030303030304,310.90909090909093,441.98282828282834,458.34646464646465,445.7090909090909,421.840404040404,415.75757575757575,99,0,0.00044664004872436893,4.0,-2.6517677870088474,-0.9908728351897408
42,Catunda,80,7,0.0875,39,0.4875,7,0.0875,394.0,440.22749999999996,450.945,462.52875000000006,428.2775,435.19575,80,0,0.0003609212514944396,3.9,-1.8951547887939308,-1.2427910578312558
