,MUNICIPIO,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB19,z_score_nota,z_score_IDEB19
103,Maracanaú,5177,1861,0.3594745991887193,3808,0.7355611357929303,1958,0.3782113192968901,552.7062005022213,497.15458759899553,502.17647286073014,514.5889704462044,462.8051187946688,505.88627004056406,2031,69,0.02335611648733392,4.262499999999999,0.8564084828496515,-0.3295875007557664
104,Maranguape,2419,669,0.27656056221579167,1687,0.6973956180239769,706,0.29185613890037204,543.3484911120298,494.6233980983878,504.71083092186853,509.97643654402646,460.62992972302607,502.65781727986774,962,55,0.010913356342063116,4.257142857142858,0.7307439377950836,-0.3430831198258436
105,Marco,808,188,0.23267326732673269,435,0.5383663366336634,197,0.2438118811881188,492.2772277227723,476.9433168316832,507.1543316831683,491.5381188118812,446.24195544554453,482.8309900990099,384,20,0.0036453046400938397,4.566666666666666,-0.04099701746692501,0.4366637597788421
106,Martinópole,152,3,0.019736842105263157,11,0.07236842105263158,4,0.02631578947368421,369.60526315789474,440.57171052631577,451.2131578947368,449.4144736842105,418.25723684210527,425.81236842105267,152,0,0.0006857503778394351,4.1,-2.2603942593995057,-0.738954612548227
107,Massapê,949,230,0.24236037934668073,440,0.4636459430979979,243,0.256059009483667,509.9051633298209,478.21675447839834,489.5577449947313,492.49125395152794,451.3059009483667,484.295363540569,451,10,0.004281428345852789,4.433333333333333,0.016002367676261585,0.1007727962568214
108,Mauriti,1412,368,0.26062322946175637,810,0.5736543909348442,398,0.2818696883852691,531.3172804532578,470.485269121813,484.11635977337113,482.40538243626065,444.50297450424927,482.5654532577904,560,16,0.006370260088876858,4.475,-0.05133279402011163,0.20573872235745327
109,Meruoca,178,38,0.21348314606741572,119,0.6685393258426966,41,0.2303370786516854,480.7865168539326,468.24719101123594,482.93146067415734,487.22808988764046,437.2808988764045,471.2948314606741,178,0,0.000803049784575128,4.4,-0.4900313489003894,0.016800055376319012
110,Milagres,989,334,0.33771486349848334,607,0.6137512639029322,363,0.36703741152679475,575.793731041456,485.47310414560167,499.0752275025278,501.97401415571284,457.45753286147624,503.9547219413549,296,20,0.0044618889716000094,4.65,0.7812247551850765,0.6465956119801058
111,Milhã,135,35,0.25925925925925924,115,0.8518518518518519,35,0.25925925925925924,501.6296296296296,470.8503703703704,493.3355555555556,483.37555555555554,448.4918518518519,479.5365925925926,127,8,0.0006090546118968668,4.1,-0.1692284009063227,-0.738954612548227
112,Miraíma,161,8,0.049689440993788817,71,0.4409937888198758,10,0.062111801242236024,387.9503105590062,432.44596273291927,452.111801242236,448.80931677018634,411.94658385093163,426.6527950310559,161,0,0.0007263540186325596,3.9,-2.227681429004851,-1.2427910578312558
113,Missão Velha,722,212,0.29362880886426596,486,0.6731301939058172,228,0.3157894736842105,549.7229916897506,478.47160664819944,492.2608033240997,495.5318559556787,456.59445983379504,494.5163434903047,293,5,0.003257314294737317,4.1,0.4138445820744595,-0.738954612548227
114,Mombaça,783,167,0.21328224776500637,374,0.4776500638569604,182,0.23243933588761176,541.9667943805874,480.81621966794376,510.0315453384419,497.40561941251593,453.91787994891445,496.8276117496807,371,0,0.003532516749001827,4.55,0.5038085666337105,0.39467738933858976
115,Monsenhor Tabosa,345,91,0.263768115942029,265,0.7681159420289855,95,0.2753623188405797,493.6231884057971,465.93652173913046,472.7750724637681,486.8730434782609,435.74376811594203,470.99031884057973,198,0,0.0015564728970697706,4.333333333333333,-0.501884221686201,-0.15114542638469244
116,Morada Nova,1429,440,0.3079076277116865,1006,0.7039888033589923,476,0.3331000699790063,581.0776766969909,485.6566130160952,510.23666899930015,504.2531140657802,460.79888033589924,508.4045906228132,568,0,0.006446955854819427,4.7,0.9544317880448122,0.7725547233008628
117,Moraújo,86,4,0.046511627906976744,17,0.19767441860465115,6,0.06976744186046512,438.6046511627907,458.3546511627907,492.1860465116279,471.3883720930233,427.8744186046511,457.68162790697676,86,0,0.0003879903453565225,4.1,-1.0199127373279664,-0.738954612548227
118,Morrinhos,234,29,0.12393162393162394,144,0.6153846153846154,30,0.1282051282051282,381.02564102564105,445.6739316239316,470.8538461538462,460.86068376068374,424.392735042735,436.5613675213675,213,21,0.0010556946606212357,4.3,-1.8419993867293873,-0.23511816726519708
119,Mucambo,98,22,0.22448979591836735,66,0.673469387755102,23,0.23469387755102042,348.9795918367347,448.2112244897959,457.10408163265305,462.18061224489793,426.09183673469386,428.5134693877551,98,0,0.00044212853308068844,3.9,-2.155256396377497,-1.2427910578312558
120,Mulungu,349,23,0.0659025787965616,67,0.19197707736389685,23,0.0659025787965616,519.6561604584527,470.4438395415473,473.03553008595986,491.36934097421204,442.96332378223497,479.4936389684814,143,0,0.0015745189596444926,4.2,-0.1709003310947083,-0.4870363899067109
121,Nova Olinda,567,181,0.31922398589065254,383,0.6754850088183422,187,0.3298059964726631,562.716049382716,480.3701940035274,500.05608465608464,497.67019400352734,451.4765432098766,498.4578130511464,254,0,0.0025580293699668404,4.8,0.5672626482266104,1.0244729459423767
122,Nova Russas,1022,325,0.31800391389432486,716,0.700587084148728,347,0.3395303326810176,555.8317025440313,487.01898238747555,502.64422700587085,502.29911937377693,460.2621330724071,501.61123287671234,353,9,0.004610768987841465,4.466666666666667,0.6900066055085908,0.18474553713732825
123,Novo Oriente,850,187,0.22,456,0.5364705882352941,194,0.22823529411764706,550.2117647058824,478.39282352941177,495.99411764705883,496.20094117647056,450.75835294117644,494.3116,335,0,0.0038347882971284204,4.95,0.4058751306160858,1.4023502799046497
124,Ocara,640,111,0.1734375,417,0.6515625,119,0.1859375,512.21875,476.76656249999996,483.65328124999996,495.05421875,442.01734374999995,481.94203125,229,0,0.0028873700119555167,4.0,-0.075598920487791,-0.9908728351897408
125,Orós,332,87,0.2620481927710843,206,0.6204819277108434,96,0.2891566265060241,511.0240963855422,473.02680722891563,481.8210843373494,492.71385542168673,442.46234939759034,480.2096385542169,137,0,0.0014978231937019242,4.0,-0.14303070782002644,-0.9908728351897408
126,Pacajus,1792,532,0.296875,1113,0.62109375,565,0.31529017857142855,571.4955357142857,496.6893973214286,506.986328125,512.3573102678572,460.3138950892857,509.5684933035714,694,36,0.008084636033475446,5.033333333333334,0.9997356260460618,1.6122821321059133
127,Pacatuba,1348,450,0.33382789317507416,880,0.6528189910979229,477,0.3538575667655786,575.7715133531158,500.3192878338279,505.0748516320475,515.591172106825,462.79228486646883,511.9098219584569,485,0,0.006081523087681307,4.779999999999999,1.0908696837660057,0.9740893014140725
128,Pacoti,667,102,0.15292353823088456,261,0.391304347826087,123,0.18440779610194902,527.0464767616191,475.3599700149925,472.8220389805097,494.2836581709146,439.08725637181414,481.71988005996997,81,0,0.0030091809343348896,4.5,-0.08424595059717248,0.2687182780178329
129,Pacujá,189,52,0.2751322751322751,150,0.7936507936507936,55,0.291005291005291,558.6243386243386,497.20899470899474,544.5571428571428,503.74497354497356,474.189417989418,515.6649735449735,189,0,0.0008526764566556134,4.7,1.2370354946694193,0.7725547233008628
130,Palhano,61,10,0.16393442622950818,28,0.45901639344262296,11,0.18032786885245902,483.27868852459017,471.6803278688525,467.90327868852455,476.27868852459017,439.86393442622955,467.8009836065574,61,0,0.0002752024542645102,4.3,-0.6260261531058446,-0.23511816726519708
131,Palmácia,213,23,0.107981220657277,104,0.48826291079812206,27,0.1267605633802817,577.2769953051643,484.88732394366195,487.5835680751174,500.7798122065728,444.4107981220657,498.98769953051647,213,0,0.0009609528321039454,4.65,0.5878879905488706,0.6465956119801058
132,Paracuru,1280,262,0.2046875,614,0.4796875,311,0.24296875,519.140625,482.544296875,498.125625,500.338515625,457.07078125,491.44396875,568,0,0.005774740023911033,4.866666666666667,0.29425522996194453,1.192418427703388
133,Paraipaba,1042,125,0.1199616122840691,290,0.2783109404990403,142,0.1362763915547025,534.5489443378119,481.3222648752399,506.90527831094056,496.5676583493282,454.80988483685223,494.83080614203453,435,10,0.004700999300715075,4.85,0.42608475066152046,1.1504320572631335
134,Parambu,536,156,0.291044776119403,402,0.75,171,0.31902985074626866,507.089552238806,476.3897388059701,488.48787313432837,489.4438432835821,451.0055970149254,482.4833208955224,354,0,0.002418172385012745,4.7,-0.05452972044391313,0.7725547233008628
135,Paramoti,79,2,0.02531645569620253,29,0.3670886075949367,5,0.06329113924050633,492.65822784810126,468.49240506329113,482.7164556962025,475.30379746835445,434.72278481012654,470.77873417721514,79,0,0.00035640973585075904,4.5,-0.5101199594940853,0.2687182780178329
136,Pedra Branca,860,150,0.1744186046511628,378,0.43953488372093025,158,0.18372093023255814,498.9767441860465,477.75441860465116,490.86476744186047,490.6923255813954,447.42697674418605,481.1430465116279,465,0,0.0038799034535652254,5.0249999999999995,-0.10669866426456462,1.5912889468857838
137,Penaforte,88,13,0.14772727272727273,50,0.5681818181818182,14,0.1590909090909091,458.8636363636364,464.50113636363636,482.54090909090905,484.3511363636364,438.10340909090905,465.67204545454547,88,0,0.0003970133766438835,4.2,-0.7088931064585057,-0.4870363899067109
138,Pentecoste,1122,258,0.22994652406417113,593,0.5285204991087344,285,0.2540106951871658,533.1907308377897,489.72976827094476,500.00427807486636,504.1233511586453,461.94197860962566,497.79802139037434,469,0,0.005061920552209514,4.533333333333333,0.54158086657222,0.3526910188983375
139,Pereiro,241,118,0.4896265560165975,210,0.8713692946058091,120,0.4979253112033195,610.4564315352698,498.40414937759334,517.4572614107884,510.00746887966807,466.42987551867225,520.5510373443983,241,0,0.001087275270126999,4.8,1.427221020050899,1.0244729459423767
140,Pindoretama,474,107,0.22573839662447256,329,0.6940928270042194,115,0.24261603375527427,540.42194092827,478.10886075949367,491.04599156118144,495.51434599156113,446.9367088607595,490.4055696202531,209,0,0.0021384584151045542,3.7,0.2538365018909294,-1.7466275031142846
141,Piquet Carneiro,89,19,0.21348314606741572,56,0.6292134831460674,21,0.23595505617977527,504.9438202247191,486.5033707865169,508.37191011235956,505.7494382022472,434.18764044943816,487.9512359550561,89,0,0.000401524892287564,4.1,0.1583038284060089,-0.738954612548227
142,Pires Ferreira,76,4,0.05263157894736842,38,0.5,4,0.05263157894736842,425.7894736842105,428.24868421052633,467.0671052631579,444.6697368421053,417.20394736842104,436.5957894736842,76,0,0.00034287518891971757,4.0,-1.8406595439940603,-0.9908728351897408
143,Poranga,94,13,0.13829787234042554,58,0.6170212765957447,13,0.13829787234042554,470.63829787234044,451.5148936170213,466.6882978723404,457.34680851063825,436.21702127659574,456.4810638297873,94,0,0.0004240824705059665,4.4,-1.0666435863605335,0.016800055376319012
144,Porteiras,375,99,0.264,205,0.5466666666666666,112,0.2986666666666667,515.6266666666667,470.7898666666667,485.92853333333335,482.53093333333334,451.4053333333333,481.2562666666667,108,0,0.0016918183663801854,3.8,-0.10229167418957637,-1.4947092804727709
145,Potengi,50,18,0.36,36,0.72,19,0.38,589.2,469.68199999999996,466.664,466.62800000000004,430.37199999999996,484.50919999999996,50,0,0.0002255757821840247,4.1,0.024325754568463746,-0.738954612548227
146,Potiretama,71,21,0.29577464788732394,52,0.7323943661971831,23,0.323943661971831,460.84507042253523,471.07042253521126,478.59154929577466,475.7619718309859,426.17464788732394,462.48873239436614,71,0,0.0003203176107013151,3.6,-0.8328006303175265,-1.9985457257557995
147,Quiterianópolis,440,119,0.27045454545454545,315,0.7159090909090909,132,0.3,482.59090909090907,462.0902272727273,472.4654545454545,485.90181818181816,430.8722727272727,466.7841363636363,178,0,0.0019850668832194175,4.0,-0.6656059938665031,-0.9908728351897408
148,Quixadá,2227,780,0.3502469690166143,1403,0.6299955096542433,861,0.3866187696452627,527.5258194881006,485.64647507858103,499.1872923215088,502.6612932195779,459.2942074539739,494.86301751234845,603,65,0.01004714533847646,3.8000000000000003,0.42733854853193115,-1.4947092804727697
149,Quixelô,54,8,0.14814814814814814,32,0.5925925925925926,8,0.14814814814814814,528.5185185185185,482.0074074074074,507.90185185185186,505.16851851851857,439.16481481481486,492.5522222222222,54,0,0.0002436218447587467,4.4,0.33739297386435524,0.016800055376319012
150,Quixeramobim,1671,530,0.31717534410532616,936,0.5601436265709157,568,0.3399162178336326,546.7265110712149,487.57695990424895,509.2251944943148,504.3991023339318,457.8869539198085,501.16294434470376,867,34,0.007538742640590106,4.514285714285714,0.6725573880029619,0.30470659553804913
151,Quixeré,183,18,0.09836065573770492,75,0.4098360655737705,18,0.09836065573770492,476.39344262295083,468.34098360655736,490.8010928961749,490.85792349726773,451.23060109289617,475.52480874316944,177,6,0.0008256073627935305,4.55,-0.3253833858676931,0.39467738933858976
152,Redenção,1030,138,0.13398058252427184,436,0.42330097087378643,166,0.16116504854368932,559.9029126213592,474.9442718446602,487.3233980582524,496.1403883495145,449.5257281553398,493.5673398058252,357,5,0.0046468611129909096,4.4,0.376905489231887,0.016800055376319012
153,Reriutaba,256,93,0.36328125,180,0.703125,94,0.3671875,502.1875,473.2015625,491.28359375,485.684765625,440.475390625,478.5665625,256,0,0.0011549480047822066,5.35,-0.20698592728518317,2.410023170470707
154,Russas,1708,657,0.38466042154566743,1313,0.7687353629976581,692,0.405152224824356,603.3021077283372,508.959074941452,532.565925058548,520.5489461358313,478.2118266978923,528.7175761124122,646,36,0.007705668719406284,5.425,1.745096006932112,2.598961837451844
155,Saboeiro,114,16,0.14035087719298245,66,0.5789473684210527,16,0.14035087719298245,459.29824561403507,472.7842105263158,484.4122807017544,480.48333333333335,434.69122807017544,466.3338596491228,114,0,0.0005143127833795763,4.4,-0.6831325995417868,0.016800055376319012
156,Salitre,172,9,0.05232558139534884,40,0.23255813953488372,9,0.05232558139534884,434.6511627906977,438.9505813953488,450.41453488372093,452.7046511627907,414.6046511627907,438.2651162790698,172,0,0.000775980690713045,3.7,-1.7756825382592971,-1.7466275031142846
157,Santa Quitéria,1177,264,0.22429906542056074,830,0.7051826677994902,278,0.23619371282922685,482.82073067119796,476.45327102803736,491.98266779949023,489.00866610025486,447.30951571792696,477.5149702633815,532,7,0.005310053912611942,4.5,-0.24791818486886744,0.2687182780178329
158,Santana do Acaraú,854,176,0.20608899297423888,455,0.5327868852459017,202,0.23653395784543327,516.5339578454333,477.2446135831382,495.75070257611236,489.77435597189697,448.75163934426234,485.61105386416864,359,12,0.003852834359703142,3.933333333333333,0.06721439963183778,-1.158818316950751
159,Santana do Cariri,270,64,0.23703703703703705,155,0.5740740740740741,73,0.27037037037037037,506.51851851851853,460.7770370370371,477.7829629629629,480.84777777777776,440.4548148148148,473.2762222222222,91,0,0.0012181092237937335,3.5,-0.4129075415904253,-2.2504639483973143
160,Senador Pompeu,584,178,0.3047945205479452,402,0.6883561643835616,186,0.3184931506849315,573.972602739726,492.05239726027395,510.99452054794517,506.3037671232877,452.12842465753425,507.09034246575345,254,6,0.002634725135909409,4.65,0.9032758910912209,0.6465956119801058
161,Senador Sá,88,1,0.011363636363636364,40,0.45454545454545453,1,0.011363636363636364,442.72727272727275,446.4318181818182,468.4193181818182,449.13295454545454,433.4045454545454,448.02318181818185,88,0,0.0003970133766438835,4.1,-1.3958588401975982,-0.738954612548227
162,Sobral,5762,2600,0.45123221103783406,4539,0.7877473099618189,2704,0.46928149947934744,606.9940992710864,513.3196980215204,543.2536445678584,524.370860812218,483.4138840680319,534.270437348143,1890,207,0.02599535313888701,4.894117647058823,1.9612360073169266,1.2615724496049778
163,Solonópole,406,128,0.31527093596059114,322,0.7931034482758621,134,0.33004926108374383,515.0738916256157,482.86330049261085,506.7295566502463,500.3241379310345,454.5935960591133,491.91689655172416,171,0,0.0018316753513342807,4.0,0.31266350830841316,-0.9908728351897408
164,São Benedito,1420,449,0.31619718309859157,1024,0.7211267605633803,465,0.3274647887323944,586.9718309859155,497.6033098591549,513.7041549295775,506.48352112676054,465.5814084507042,514.0688450704225,600,31,0.0064063522140263025,4.92,1.1749076664276876,1.3267748131121946
165,São Gonçalo do Amarante,1663,320,0.19242333132892364,684,0.41130487071557426,364,0.21888153938665064,530.1503307276007,479.6515935057125,503.6088995790739,500.0628382441371,446.81815995189413,492.0583644016837,598,0,0.007502650515440662,4.5,0.318170013846125,0.2687182780178329
166,São João do Jaguaribe,41,12,0.2926829268292683,22,0.5365853658536586,12,0.2926829268292683,424.8780487804878,452.5682926829268,470.69756097560975,467.719512195122,428.7609756097561,448.92487804878044,41,0,0.00018497214139090028,4.6,-1.360761146350236,0.5206365006593467
167,São Luís do Curu,111,15,0.13513513513513514,53,0.4774774774774775,17,0.15315315315315314,461.26126126126127,456.46126126126126,462.1648648648649,467.63513513513516,424.0315315315315,454.31081081081084,111,0,0.0005007782364485349,4.1,-1.151118682791604,-0.738954612548227
168,Tabuleiro do Norte,934,413,0.4421841541755889,758,0.8115631691648822,430,0.4603854389721627,583.4047109207709,494.0240899357602,515.2428265524625,510.98404710920767,470.01316916488224,514.7337687366168,289,63,0.004213755611197582,4.733333333333333,1.200789206658213,0.8565274641813674
169,Tamboril,643,145,0.2255054432348367,430,0.6687402799377916,155,0.2410575427682737,518.9113530326595,476.39922239502334,487.0278382581649,494.8214618973562,442.3909797822706,483.91017107309483,318,0,0.002900904558886558,4.266666666666667,0.0010091062685443522,-0.3190909081457017
170,Tarrafas,79,16,0.20253164556962025,56,0.7088607594936709,19,0.24050632911392406,570.632911392405,449.6151898734177,483.3772151898735,471.2645569620253,441.0607594936709,483.1901265822784,79,0,0.00035640973585075904,4.5,-0.027017961204475156,0.2687182780178329
171,Tauá,1208,423,0.35016556291390727,835,0.6912251655629139,464,0.3841059602649007,556.6225165562914,496.56084437086093,514.1496688741722,508.5004966887417,460.66887417218544,507.30048013245033,514,50,0.005449910897566038,4.633333333333334,0.9114553058888518,0.6046092415398535
172,Tejuçuoca,385,46,0.11948051948051948,144,0.37402597402597404,51,0.13246753246753246,544.0,475.2374025974026,501.4576623376624,492.6438961038961,440.9818181818182,490.8641558441559,156,0,0.0017369335228169904,4.1,0.27168654755261856,-0.738954612548227
173,Tianguá,2303,842,0.36561007381676075,1582,0.6869300911854104,885,0.3842813721233174,561.9539730785931,491.68167607468513,509.3333043855841,507.2366912722536,459.6238384715588,505.96589665653494,840,51,0.010390020527396179,4.449999999999999,0.8595078754107053,0.1427591666970737
174,Trairi,1199,191,0.15929941618015012,558,0.4653878231859883,224,0.18682235195996663,513.2110091743119,476.146955796497,492.5209341117598,492.8997497914929,446.44186822351963,484.2441034195163,526,0,0.005409307256772913,4.4,0.01400711475822367,0.016800055376319012
175,Tururu,163,12,0.0736196319018405,58,0.3558282208588957,13,0.07975460122699386,443.19018404907973,440.1460122699387,447.37116564417175,458.179754601227,423.53067484662574,442.4835582822086,163,0,0.0007353770499199206,4.0,-1.6114835753328005,-0.9908728351897408
176,Ubajara,964,225,0.23340248962655602,573,0.5943983402489627,239,0.2479253112033195,560.4771784232365,491.30653526970957,510.141286307054,504.7951244813278,464.9340248962656,506.33082987551865,361,16,0.004349101080507996,4.9,0.8737125642626481,1.2763911685838927
177,Umari,72,14,0.19444444444444445,52,0.7222222222222222,14,0.19444444444444445,553.0555555555555,451.00138888888887,468.84999999999997,477.1347222222222,429.89166666666665,475.9866666666667,72,0,0.0003248291263449956,4.2,-0.30740599231784616,-0.4870363899067109
178,Umirim,196,4,0.02040816326530612,15,0.07653061224489796,4,0.02040816326530612,390.2040816326531,437.2545918367347,453.4658163265306,444.46734693877556,422.86479591836735,429.65132653061227,175,21,0.0008842570661613769,3.9,-2.110966356908746,-1.2427910578312558
179,Uruburetama,959,136,0.14181438998957246,288,0.30031282586027114,175,0.18248175182481752,541.8561001042752,481.292700729927,495.87904066736183,502.3103232533889,452.3035453597497,494.7283420229405,324,0,0.004326543502289594,4.433333333333334,0.4220964293618808,0.10077279625682363
180,Uruoca,246,46,0.18699186991869918,113,0.45934959349593496,50,0.2032520325203252,512.9268292682926,482.560162601626,493.56666666666666,498.44674796747967,445.0536585365854,486.51081300813007,109,0,0.0011098328483454016,4.0,0.1022366941690558,-0.9908728351897408
181,Varjota,591,186,0.3147208121827411,464,0.7851099830795262,194,0.32825719120135366,564.2978003384095,494.9934010152284,514.8998307952622,504.15126903553306,459.80033840947544,507.62852791878174,206,0,0.002666305745415172,4.3,0.9242242633062754,-0.23511816726519708
182,Viçosa do Ceará,1578,283,0.17934093789607097,675,0.42775665399239543,335,0.21229404309252217,540.5576679340938,479.69036755386566,496.3920152091255,495.5924588086185,448.75836501901136,492.19817490494296,702,15,0.0071191716857278205,4.3999999999999995,0.3236120086926388,0.016800055376316774
183,Várzea Alegre,1156,367,0.31747404844290655,806,0.6972318339100346,387,0.33477508650519033,521.3148788927335,476.20086505190307,500.14057093425606,493.3016435986159,448.0017301038062,487.79193771626296,465,10,0.005215312084094652,4.233333333333333,0.1521032914337354,-0.4030636490262063
