,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Total_Alunos,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB23,z_score_nota,z_score_IDEB23
50,Cariré,625.7654723127035,508.4224755700326,527.8352066115702,507.7285016286645,485.69619834710744,531.9088480801336,165,0.21484375,712,0.9270833333333334,166,0.21614583333333334,768,223,0,0.003168042372566733,5.05,1.1946638853933917,1.1703375164764998
51,Caririaçu,629.6795952782462,508.8266441821248,518.0939446366782,498.5893760539629,474.366955017301,528.6294974003466,178,0.21342925659472423,611,0.7326139088729017,183,0.21942446043165467,834,408,0,0.003440296013959187,4.633333333333333,1.0871602549357249,0.19582476814291777
52,Mauriti,592.4062214089662,489.43659652333025,492.94926199261994,485.0821591948765,467.4222324723247,506.413234476367,272,0.21200311769290725,1119,0.8721745908028059,276,0.2151208106001559,1283,494,0,0.005292445786462394,4.4,0.35886701864022763,-0.34990237092388576
53,Nova Russas,567.0611057225995,487.5356935014549,489.2467455621302,491.092046556741,465.2627218934912,501.54762762762766,267,0.2119047619047619,1119,0.888095238095238,271,0.2150793650793651,1260,416,15,0.005197569517492296,4.533333333333334,0.19936275950648052,-0.0380582914571388
54,Acopiara,575.2806652806653,484.2055093555094,491.31243301178995,485.5493762993763,462.4441586280815,503.06030237580995,253,0.21171548117154812,976,0.8167364016736401,256,0.21422594142259413,1195,541,33,0.004929440931272456,4.8,0.24895124302352803,0.5856298674763509
55,Forquilha,574.5590994371482,495.77223264540334,520.2275929549902,494.3900562851783,472.7283757338552,514.203536345776,148,0.21022727272727273,615,0.8735795454545454,151,0.21448863636363635,704,257,0,0.0029040388415195054,4.65,0.6142485911218348,0.23480527807626297
56,Ipu,613.2145886344359,498.0130619168787,507.8089877835951,496.0558100084818,474.5047993019197,521.2311660777385,312,0.2101010101010101,1190,0.8013468013468014,316,0.2127946127946128,1485,543,35,0.006125706931330206,5.62,0.8446282557166854,2.5034709561968396
57,Ibiapina,587.984496124031,497.16298449612407,487.5563492063492,492.88662790697674,462.34305555555557,508.4233266533066,137,0.2066365007541478,543,0.8190045248868778,140,0.21116138763197587,663,216,0,0.002734911579442375,4.15,0.42476183370453285,-0.9346100199240345
58,Jaguaribe,565.3562653562653,497.6707616707617,503.8948148148148,494.24815724815727,474.11555555555555,510.1069620253165,214,0.20517737296260785,789,0.7564717162032598,218,0.20901246404602108,1043,341,58,0.00430243254503529,4.26,0.4799547461227204,-0.6773386543639703
59,Paracuru,575.2655889145497,490.60219399538107,504.18624401913877,497.53187066974596,469.1723684210526,509.1628950542822,212,0.20463320463320464,785,0.7577220077220077,214,0.20656370656370657,1036,478,4,0.004273557158826999,4.933333333333334,0.4490063552089588,0.8974739469430979
60,Mombaça,584.1206030150754,499.4837520938023,511.4131348511384,496.3763819095478,470.8970227670753,516.9323049645391,177,0.20321469575200918,703,0.8071182548794489,180,0.2066590126291619,871,343,0,0.003592923055345865,4.425,0.703703047762941,-0.29143160602387214
61,Camocim,560.197628458498,496.42279314888015,499.6757534246575,497.97364953886694,466.36123287671234,506.77373010380626,395,0.20277207392197125,1711,0.8783367556468172,400,0.2053388090349076,1948,883,0,0.008035607476249994,4.8999999999999995,0.37068478151405154,0.8195129270764097
62,Icapuí,567.157464212679,489.7085889570552,488.42887473460723,494.8439672801636,463.22972399150746,502.71259574468087,137,0.2011747430249633,594,0.8722466960352423,138,0.2026431718061674,681,272,0,0.0028091625725494077,4.0,0.2375527288569949,-1.2854346093241247
63,Cruz,558.0803571428571,490.39687499999997,522.1643181818182,493.10625,467.5375,508.44429223744294,107,0.20112781954887218,463,0.8703007518796992,107,0.20112781954887218,532,267,0,0.002194529351830081,4.65,0.42544912720541167,0.23480527807626297
64,Coreaú,574.9376114081997,498.75864527629227,519.1996402877697,492.85508021390376,464.17733812949643,511.97083333333336,144,0.200836820083682,635,0.8856345885634589,147,0.20502092050209206,717,215,0,0.0029576645587634735,4.25,0.5410561506028028,-0.7007269603239759
