,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Total_Internet,Taxa_Internet,Total_Computador,Taxa_Computador,Taxa_Alunos
23,Canindé,633.329596412556,497.80941704035877,525.2969170403587,512.4826793721973,470.03099775784756,527.7899215246637,2448,294,0.12009803921568628,1645,0.6719771241830066,313,0.127859477124183,0.00976828260982335
24,Guaraciaba do Norte,650.1804511278195,494.38969924812034,514.8994736842105,505.76917293233083,470.7995488721805,527.2076691729322,1658,359,0.21652593486127866,1434,0.864897466827503,368,0.22195416164053075,0.006615936506163036
25,Paraipaba,624.7919293820934,493.91034047919294,525.8279949558638,509.7,478.49785624211853,526.5456242118537,1022,115,0.11252446183953033,615,0.601761252446184,120,0.11741682974559686,0.004078098377140303
26,Itapajé,625.8524980174465,493.2445678033307,527.1399682791435,508.9854084060269,474.3697065820777,525.9184298176051,1569,369,0.23518164435946462,1146,0.7304015296367112,375,0.2390057361376673,0.006260798780560798
27,Ubajara,624.5803357314148,496.15575539568346,524.3853717026379,507.4624700239808,475.0056354916067,525.5179136690648,1080,301,0.27870370370370373,901,0.8342592592592593,306,0.2833333333333333,0.004309536445510301
28,Milagres,641.5745856353591,493.70055248618786,507.49640883977906,507.74723756906076,476.80607734806625,525.4649723756906,950,216,0.22736842105263158,788,0.8294736842105264,223,0.23473684210526316,0.003790795947439617
29,Farias Brito,599.0277777777778,498.0386574074074,526.9689814814815,514.7402777777778,477.83449074074076,523.322037037037,644,203,0.31521739130434784,580,0.9006211180124224,210,0.32608695652173914,0.002569760621211698
30,Tianguá,621.8827008378512,494.8735830458354,512.1001478560867,509.2510103499261,476.94130113356334,523.0097486446525,2723,825,0.30297466030113845,2307,0.847227322805729,840,0.30848329048843187,0.010865618278819027
31,São Benedito,639.8036809815951,490.311472392638,507.40337423312883,503.8559509202454,473.33067484662575,522.9410306748466,1996,521,0.26102204408817636,1786,0.8947895791583166,532,0.2665330661322645,0.007964661801146815
32,Brejo Santo,623.4357848518111,492.4668496158068,513.1232162458837,509.15279912184417,476.4736004390779,522.9304500548848,2484,631,0.25402576489533013,1860,0.748792270531401,644,0.25925925925925924,0.009911933824673692
33,Maracanaú,609.0502035278155,498.79179104477606,509.38478064224336,517.1001130710086,476.7795341474446,522.2212844866576,6355,1939,0.3051140833988985,5053,0.7951219512195122,2010,0.3162863886703383,0.025358429732609225
